Date,Time,Open,High,Low,Close,Volume
2018.10.01,16:00,7676.7,7706.2,7660.5,7663.5,38837
2018.10.01,20:00,7663.7,7674,7630,7648.2,19472
2018.10.02,0:00,7649.6,7655.3,7645,7651.3,2095
2018.10.02,4:00,7651,7651,7632.8,7642.3,5714
2018.10.02,8:00,7642.3,7642.8,7609.5,7614,11557
2018.10.02,12:00,7614.3,7638.8,7608,7632.5,10278
2018.10.02,16:00,7632.5,7690.3,7611.8,7661,43928
2018.10.02,20:00,7660.8,7672.3,7614.8,7631.3,21031
2018.10.03,0:00,7631.8,7636.1,7619.9,7627.1,2426
2018.10.03,4:00,7627.4,7653.6,7621.1,7641.1,9497
2018.10.03,8:00,7640.9,7654.6,7631.9,7651.6,7021
2018.10.03,12:00,7651.4,7668.4,7641.9,7667.6,7088
2018.10.03,16:00,7667.4,7681.9,7641.9,7665.1,35930
2018.10.03,20:00,7664.9,7676.1,7628.1,7640.9,22213
2018.10.04,0:00,7627.2,7627.2,7609.1,7618.6,3379
2018.10.04,4:00,7618.8,7618.8,7597.6,7608.1,9873
2018.10.04,8:00,7608.1,7608.1,7583.3,7589.6,11037
2018.10.04,12:00,7589.6,7608.6,7579.8,7602.8,10468
2018.10.04,16:00,7602.8,7610.3,7465.3,7472.6,56773
2018.10.04,20:00,7472.6,7497.6,7434.5,7491.1,36427
2018.10.05,0:00,7497.9,7512.7,7490.2,7510.9,4140
2018.10.05,4:00,7511.2,7518.2,7481.2,7500.4,9590
2018.10.05,8:00,7500.4,7505.4,7457.9,7467.9,11212
2018.10.05,12:00,7467.9,7504.9,7448.7,7478.9,15137
2018.10.05,16:00,7478.7,7512.9,7340.7,7352.9,62667
2018.10.05,20:00,7353.2,7425.4,7325.7,7398.9,37370
2018.10.08,0:00,7425.9,7432.8,7393.3,7413.8,5563
2018.10.08,4:00,7414.1,7425.8,7402.8,7413.3,8810
2018.10.08,8:00,7413.6,7420.3,7367.6,7368.3,13042
2018.10.08,12:00,7368.3,7404.8,7367.3,7387.8,11944
2018.10.08,16:00,7387.8,7419.1,7267.8,7269.3,63004
2018.10.08,20:00,7269.6,7374.8,7267.1,7356.6,40874
2018.10.09,0:00,7371,7373.7,7361.6,7369.1,3463
2018.10.09,4:00,7369.1,7379.2,7359.2,7370.2,8377
2018.10.09,8:00,7370.2,7373.2,7344.7,7356.5,10701
2018.10.09,12:00,7356.5,7361.7,7318,7358.7,15281
2018.10.09,16:00,7358.5,7436.2,7342.7,7370.7,61830
2018.10.09,20:00,7371,7395.5,7350.7,7376.2,35324
2018.10.10,0:00,7375,7389.3,7372.3,7386.3,3546
2018.10.10,4:00,7386.1,7391.8,7361.6,7375.1,8778
2018.10.10,8:00,7375.1,7393.3,7362.8,7365.1,11573
2018.10.10,12:00,7365.3,7377.1,7327.3,7334.1,14982
2018.10.10,16:00,7334.1,7340.1,7182.8,7202.3,77680
2018.10.10,20:00,7202.6,7243.8,7043.6,7055.1,55915
2018.10.11,0:00,6991.2,7028,6978,7010.5,10980
2018.10.11,4:00,7010.5,7011.7,6909.7,6948.6,20448
2018.10.11,8:00,6948.1,7026.4,6919,6956.5,22688
2018.10.11,12:00,6957,7034.1,6930.9,7013.1,25619
2018.10.11,16:00,7013.4,7121.6,6961.1,7057.1,73676
2018.10.11,20:00,7056.9,7083.4,6890.9,6967.1,53284
2018.10.12,0:00,7026.4,7084.3,7018.8,7064.8,9320
2018.10.12,4:00,7064.4,7107.6,7059.1,7107.1,12596
